03:12:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 48] Logger initialized
03:12:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
03:12:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
03:12:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
03:12:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
03:12:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
03:12:59: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
03:12:59: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
03:12:59: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
03:12:59: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
03:12:59: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
03:13:00: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: ATTITUDE
03:13:00: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 111] Received: LOCAL_POSITION_NED
